2017-10-24 17:56:03.521247 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit03.
Trial ID: 9.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 69.91%
C =       0.062500; acc = 70.60%
C =       0.125000; acc = 71.28%
C =       0.250000; acc = 72.02%
C =       0.500000; acc = 72.57%
C =       1.000000; acc = 73.47%
C =       2.000000; acc = 74.46%
C =       4.000000; acc = 75.05%
C =       8.000000; acc = 75.09%
C =      16.000000; acc = 75.08%
C =      32.000000; acc = 75.08%
C =      64.000000; acc = 75.08%
C =     128.000000; acc = 75.08%
C =     256.000000; acc = 75.08%
C =     512.000000; acc = 75.08%
C =    1024.000000; acc = 75.08%
C =    2048.000000; acc = 75.08%
C =    4096.000000; acc = 75.08%
C =    8192.000000; acc = 75.08%
C =   16384.000000; acc = 75.08%
2017-10-24 22:42:55.153204 Finish.
Total elapsed time: 04:46:52.15.
