2017-10-24 17:56:05.603026 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit07.
Trial ID: 7.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 86.25%
C =       0.062500; acc = 87.74%
C =       0.125000; acc = 89.27%
C =       0.250000; acc = 90.75%
C =       0.500000; acc = 92.02%
C =       1.000000; acc = 92.91%
C =       2.000000; acc = 93.02%
C =       4.000000; acc = 92.89%
C =       8.000000; acc = 92.80%
C =      16.000000; acc = 92.80%
C =      32.000000; acc = 92.80%
C =      64.000000; acc = 92.80%
C =     128.000000; acc = 92.80%
C =     256.000000; acc = 92.80%
C =     512.000000; acc = 92.80%
C =    1024.000000; acc = 92.80%
C =    2048.000000; acc = 92.80%
C =    4096.000000; acc = 92.80%
C =    8192.000000; acc = 92.80%
C =   16384.000000; acc = 92.80%
2017-10-24 21:54:40.898558 Finish.
Total elapsed time: 03:58:35.90.
