2017-10-24 17:55:17.337538 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit07.
Trial ID: 5.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 86.90%
C =       0.062500; acc = 88.34%
C =       0.125000; acc = 89.84%
C =       0.250000; acc = 91.16%
C =       0.500000; acc = 92.09%
C =       1.000000; acc = 92.73%
C =       2.000000; acc = 92.99%
C =       4.000000; acc = 92.79%
C =       8.000000; acc = 92.67%
C =      16.000000; acc = 92.67%
C =      32.000000; acc = 92.67%
C =      64.000000; acc = 92.67%
C =     128.000000; acc = 92.67%
C =     256.000000; acc = 92.67%
C =     512.000000; acc = 92.67%
C =    1024.000000; acc = 92.67%
C =    2048.000000; acc = 92.67%
C =    4096.000000; acc = 92.67%
C =    8192.000000; acc = 92.67%
C =   16384.000000; acc = 92.67%
2017-10-24 21:36:06.326487 Finish.
Total elapsed time: 03:40:49.33.
