2017-10-24 17:56:05.657509 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit01.
Trial ID: 9.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 78.85%
C =       0.062500; acc = 77.64%
C =       0.125000; acc = 76.45%
C =       0.250000; acc = 75.97%
C =       0.500000; acc = 75.22%
C =       1.000000; acc = 75.55%
C =       2.000000; acc = 76.81%
C =       4.000000; acc = 77.03%
C =       8.000000; acc = 77.03%
C =      16.000000; acc = 77.03%
C =      32.000000; acc = 77.03%
C =      64.000000; acc = 77.03%
C =     128.000000; acc = 77.03%
C =     256.000000; acc = 77.03%
C =     512.000000; acc = 77.03%
C =    1024.000000; acc = 77.03%
C =    2048.000000; acc = 77.03%
C =    4096.000000; acc = 77.03%
C =    8192.000000; acc = 77.03%
C =   16384.000000; acc = 77.03%
2017-10-24 22:47:13.268799 Finish.
Total elapsed time: 04:51:08.27.
