2017-10-24 15:46:51.031128 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit05.
Trial ID: 3.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 84.19%
C =       0.062500; acc = 86.06%
C =       0.125000; acc = 87.56%
C =       0.250000; acc = 88.83%
C =       0.500000; acc = 89.83%
C =       1.000000; acc = 90.78%
C =       2.000000; acc = 91.51%
C =       4.000000; acc = 91.62%
C =       8.000000; acc = 91.54%
C =      16.000000; acc = 91.54%
C =      32.000000; acc = 91.54%
C =      64.000000; acc = 91.54%
C =     128.000000; acc = 91.54%
C =     256.000000; acc = 91.54%
C =     512.000000; acc = 91.54%
C =    1024.000000; acc = 91.54%
C =    2048.000000; acc = 91.54%
C =    4096.000000; acc = 91.54%
C =    8192.000000; acc = 91.54%
C =   16384.000000; acc = 91.54%
2017-10-25 09:08:47.315359 Finish.
Total elapsed time: 17:21:56.32.
