2017-10-24 17:56:04.834641 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit01.
Trial ID: 8.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 78.15%
C =       0.062500; acc = 76.89%
C =       0.125000; acc = 75.77%
C =       0.250000; acc = 74.78%
C =       0.500000; acc = 74.05%
C =       1.000000; acc = 73.76%
C =       2.000000; acc = 73.90%
C =       4.000000; acc = 74.15%
C =       8.000000; acc = 74.18%
C =      16.000000; acc = 74.18%
C =      32.000000; acc = 74.18%
C =      64.000000; acc = 74.18%
C =     128.000000; acc = 74.18%
C =     256.000000; acc = 74.18%
C =     512.000000; acc = 74.18%
C =    1024.000000; acc = 74.18%
C =    2048.000000; acc = 74.18%
C =    4096.000000; acc = 74.18%
C =    8192.000000; acc = 74.18%
C =   16384.000000; acc = 74.18%
2017-10-24 23:36:18.423717 Finish.
Total elapsed time: 05:40:14.42.
