2017-10-24 17:56:47.473534 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit02.
Trial ID: 6.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 74.58%
C =       0.062500; acc = 74.88%
C =       0.125000; acc = 74.90%
C =       0.250000; acc = 74.80%
C =       0.500000; acc = 73.99%
C =       1.000000; acc = 73.51%
C =       2.000000; acc = 73.18%
C =       4.000000; acc = 72.91%
C =       8.000000; acc = 72.90%
C =      16.000000; acc = 72.97%
C =      32.000000; acc = 72.97%
C =      64.000000; acc = 72.97%
C =     128.000000; acc = 72.97%
C =     256.000000; acc = 72.97%
C =     512.000000; acc = 72.97%
C =    1024.000000; acc = 72.97%
C =    2048.000000; acc = 72.97%
C =    4096.000000; acc = 72.97%
C =    8192.000000; acc = 72.97%
C =   16384.000000; acc = 72.97%
2017-10-25 00:00:05.958221 Finish.
Total elapsed time: 06:03:18.96.
