2017-10-24 15:44:08.102115 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit07.
Trial ID: 2.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 86.75%
C =       0.062500; acc = 88.30%
C =       0.125000; acc = 89.90%
C =       0.250000; acc = 91.46%
C =       0.500000; acc = 92.37%
C =       1.000000; acc = 93.01%
C =       2.000000; acc = 93.11%
C =       4.000000; acc = 92.97%
C =       8.000000; acc = 92.84%
C =      16.000000; acc = 92.81%
C =      32.000000; acc = 92.81%
C =      64.000000; acc = 92.81%
C =     128.000000; acc = 92.81%
C =     256.000000; acc = 92.81%
C =     512.000000; acc = 92.81%
C =    1024.000000; acc = 92.81%
C =    2048.000000; acc = 92.81%
C =    4096.000000; acc = 92.81%
C =    8192.000000; acc = 92.81%
C =   16384.000000; acc = 92.81%
2017-10-25 04:46:30.793328 Finish.
Total elapsed time: 13:02:22.79.
