2017-10-24 17:56:06.109408 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit01.
Trial ID: 6.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 79.46%
C =       0.062500; acc = 78.34%
C =       0.125000; acc = 77.33%
C =       0.250000; acc = 76.76%
C =       0.500000; acc = 75.64%
C =       1.000000; acc = 75.04%
C =       2.000000; acc = 74.94%
C =       4.000000; acc = 75.17%
C =       8.000000; acc = 75.33%
C =      16.000000; acc = 75.27%
C =      32.000000; acc = 75.27%
C =      64.000000; acc = 75.27%
C =     128.000000; acc = 75.27%
C =     256.000000; acc = 75.27%
C =     512.000000; acc = 75.27%
C =    1024.000000; acc = 75.27%
C =    2048.000000; acc = 75.27%
C =    4096.000000; acc = 75.27%
C =    8192.000000; acc = 75.27%
C =   16384.000000; acc = 75.27%
2017-10-24 23:02:06.468820 Finish.
Total elapsed time: 05:06:00.47.
