2017-10-24 17:56:04.475581 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit10.
Trial ID: 9.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 78.98%
C =       0.062500; acc = 79.58%
C =       0.125000; acc = 79.72%
C =       0.250000; acc = 79.77%
C =       0.500000; acc = 79.24%
C =       1.000000; acc = 78.99%
C =       2.000000; acc = 78.48%
C =       4.000000; acc = 78.43%
C =       8.000000; acc = 78.29%
C =      16.000000; acc = 78.28%
C =      32.000000; acc = 78.28%
C =      64.000000; acc = 78.28%
C =     128.000000; acc = 78.28%
C =     256.000000; acc = 78.28%
C =     512.000000; acc = 78.28%
C =    1024.000000; acc = 78.28%
C =    2048.000000; acc = 78.28%
C =    4096.000000; acc = 78.28%
C =    8192.000000; acc = 78.28%
C =   16384.000000; acc = 78.28%
2017-10-24 22:27:00.798193 Finish.
Total elapsed time: 04:30:56.80.
