2017-10-24 16:48:19.487533 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit10.
Trial ID: 0.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 79.27%
C =       0.062500; acc = 79.69%
C =       0.125000; acc = 79.46%
C =       0.250000; acc = 78.92%
C =       0.500000; acc = 78.22%
C =       1.000000; acc = 77.24%
C =       2.000000; acc = 77.04%
C =       4.000000; acc = 76.63%
C =       8.000000; acc = 76.59%
C =      16.000000; acc = 76.58%
C =      32.000000; acc = 76.58%
C =      64.000000; acc = 76.58%
C =     128.000000; acc = 76.58%
C =     256.000000; acc = 76.58%
C =     512.000000; acc = 76.58%
C =    1024.000000; acc = 76.58%
C =    2048.000000; acc = 76.58%
C =    4096.000000; acc = 76.58%
C =    8192.000000; acc = 76.58%
C =   16384.000000; acc = 76.58%
2017-10-25 11:56:25.034530 Finish.
Total elapsed time: 19:08:06.03.
