2017-10-23 19:48:41.685319 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit05.
Trial ID: 1.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 83.41%
C =       0.062500; acc = 85.45%
C =       0.125000; acc = 87.08%
C =       0.250000; acc = 88.37%
C =       0.500000; acc = 89.27%
C =       1.000000; acc = 89.89%
C =       2.000000; acc = 90.47%
C =       4.000000; acc = 90.67%
C =       8.000000; acc = 90.62%
C =      16.000000; acc = 90.62%
C =      32.000000; acc = 90.62%
C =      64.000000; acc = 90.62%
C =     128.000000; acc = 90.62%
C =     256.000000; acc = 90.62%
C =     512.000000; acc = 90.62%
C =    1024.000000; acc = 90.62%
C =    2048.000000; acc = 90.62%
C =    4096.000000; acc = 90.62%
C =    8192.000000; acc = 90.62%
C =   16384.000000; acc = 90.62%
2017-10-24 14:33:29.574354 Finish.
Total elapsed time: 18:44:48.57.
