2017-10-23 19:48:41.686107 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit03.
Trial ID: 1.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 68.76%
C =       0.062500; acc = 69.41%
C =       0.125000; acc = 70.47%
C =       0.250000; acc = 71.55%
C =       0.500000; acc = 72.61%
C =       1.000000; acc = 73.41%
C =       2.000000; acc = 74.44%
C =       4.000000; acc = 75.06%
C =       8.000000; acc = 75.13%
C =      16.000000; acc = 75.12%
C =      32.000000; acc = 75.12%
C =      64.000000; acc = 75.12%
C =     128.000000; acc = 75.12%
C =     256.000000; acc = 75.12%
C =     512.000000; acc = 75.12%
C =    1024.000000; acc = 75.12%
C =    2048.000000; acc = 75.12%
C =    4096.000000; acc = 75.12%
C =    8192.000000; acc = 75.12%
C =   16384.000000; acc = 75.12%
2017-10-24 17:20:17.504106 Finish.
Total elapsed time: 21:31:36.50.
