2017-10-24 16:48:26.131733 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit07.
Trial ID: 4.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 85.46%
C =       0.062500; acc = 87.31%
C =       0.125000; acc = 89.13%
C =       0.250000; acc = 90.90%
C =       0.500000; acc = 92.14%
C =       1.000000; acc = 92.73%
C =       2.000000; acc = 93.01%
C =       4.000000; acc = 92.96%
C =       8.000000; acc = 92.88%
C =      16.000000; acc = 92.87%
C =      32.000000; acc = 92.87%
C =      64.000000; acc = 92.87%
C =     128.000000; acc = 92.87%
C =     256.000000; acc = 92.87%
C =     512.000000; acc = 92.87%
C =    1024.000000; acc = 92.87%
C =    2048.000000; acc = 92.87%
C =    4096.000000; acc = 92.87%
C =    8192.000000; acc = 92.87%
C =   16384.000000; acc = 92.87%
2017-10-25 10:11:50.196539 Finish.
Total elapsed time: 17:23:24.20.
