2017-10-23 19:48:41.686024 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit10.
Trial ID: 1.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 79.53%
C =       0.062500; acc = 79.82%
C =       0.125000; acc = 79.90%
C =       0.250000; acc = 79.69%
C =       0.500000; acc = 79.27%
C =       1.000000; acc = 78.60%
C =       2.000000; acc = 78.02%
C =       4.000000; acc = 77.70%
C =       8.000000; acc = 77.72%
C =      16.000000; acc = 77.72%
C =      32.000000; acc = 77.72%
C =      64.000000; acc = 77.72%
C =     128.000000; acc = 77.72%
C =     256.000000; acc = 77.72%
C =     512.000000; acc = 77.72%
C =    1024.000000; acc = 77.72%
C =    2048.000000; acc = 77.72%
C =    4096.000000; acc = 77.72%
C =    8192.000000; acc = 77.72%
C =   16384.000000; acc = 77.72%
2017-10-24 13:44:07.837374 Finish.
Total elapsed time: 17:55:26.84.
