2017-10-24 17:56:05.539549 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit03.
Trial ID: 8.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 68.96%
C =       0.062500; acc = 69.92%
C =       0.125000; acc = 71.06%
C =       0.250000; acc = 72.13%
C =       0.500000; acc = 73.22%
C =       1.000000; acc = 74.19%
C =       2.000000; acc = 75.24%
C =       4.000000; acc = 75.64%
C =       8.000000; acc = 75.72%
C =      16.000000; acc = 75.72%
C =      32.000000; acc = 75.72%
C =      64.000000; acc = 75.72%
C =     128.000000; acc = 75.72%
C =     256.000000; acc = 75.72%
C =     512.000000; acc = 75.72%
C =    1024.000000; acc = 75.72%
C =    2048.000000; acc = 75.72%
C =    4096.000000; acc = 75.72%
C =    8192.000000; acc = 75.72%
C =   16384.000000; acc = 75.72%
2017-10-24 23:16:29.758171 Finish.
Total elapsed time: 05:20:24.76.
