2017-10-24 17:56:05.045866 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit10.
Trial ID: 6.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 79.34%
C =       0.062500; acc = 80.07%
C =       0.125000; acc = 80.14%
C =       0.250000; acc = 79.61%
C =       0.500000; acc = 78.60%
C =       1.000000; acc = 77.77%
C =       2.000000; acc = 77.20%
C =       4.000000; acc = 76.84%
C =       8.000000; acc = 76.97%
C =      16.000000; acc = 76.97%
C =      32.000000; acc = 76.97%
C =      64.000000; acc = 76.97%
C =     128.000000; acc = 76.97%
C =     256.000000; acc = 76.97%
C =     512.000000; acc = 76.97%
C =    1024.000000; acc = 76.97%
C =    2048.000000; acc = 76.97%
C =    4096.000000; acc = 76.97%
C =    8192.000000; acc = 76.97%
C =   16384.000000; acc = 76.97%
2017-10-24 22:39:46.928388 Finish.
Total elapsed time: 04:43:41.93.
