2017-10-24 17:56:05.662885 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit10.
Trial ID: 7.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 79.36%
C =       0.062500; acc = 79.88%
C =       0.125000; acc = 79.79%
C =       0.250000; acc = 79.59%
C =       0.500000; acc = 79.25%
C =       1.000000; acc = 78.32%
C =       2.000000; acc = 78.06%
C =       4.000000; acc = 78.13%
C =       8.000000; acc = 78.16%
C =      16.000000; acc = 78.15%
C =      32.000000; acc = 78.15%
C =      64.000000; acc = 78.15%
C =     128.000000; acc = 78.15%
C =     256.000000; acc = 78.15%
C =     512.000000; acc = 78.15%
C =    1024.000000; acc = 78.15%
C =    2048.000000; acc = 78.15%
C =    4096.000000; acc = 78.15%
C =    8192.000000; acc = 78.15%
C =   16384.000000; acc = 78.15%
2017-10-24 22:49:12.164047 Finish.
Total elapsed time: 04:53:07.16.
