2017-10-24 17:56:05.053598 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit01.
Trial ID: 7.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 76.73%
C =       0.062500; acc = 75.16%
C =       0.125000; acc = 73.83%
C =       0.250000; acc = 72.99%
C =       0.500000; acc = 72.29%
C =       1.000000; acc = 72.32%
C =       2.000000; acc = 72.82%
C =       4.000000; acc = 73.48%
C =       8.000000; acc = 73.61%
C =      16.000000; acc = 73.64%
C =      32.000000; acc = 73.64%
C =      64.000000; acc = 73.64%
C =     128.000000; acc = 73.64%
C =     256.000000; acc = 73.64%
C =     512.000000; acc = 73.64%
C =    1024.000000; acc = 73.64%
C =    2048.000000; acc = 73.64%
C =    4096.000000; acc = 73.64%
C =    8192.000000; acc = 73.64%
C =   16384.000000; acc = 73.64%
2017-10-24 23:18:30.920516 Finish.
Total elapsed time: 05:22:25.92.
