2017-10-24 17:56:04.478844 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit02.
Trial ID: 9.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 75.75%
C =       0.062500; acc = 75.73%
C =       0.125000; acc = 75.78%
C =       0.250000; acc = 75.27%
C =       0.500000; acc = 73.95%
C =       1.000000; acc = 73.64%
C =       2.000000; acc = 72.71%
C =       4.000000; acc = 71.99%
C =       8.000000; acc = 71.98%
C =      16.000000; acc = 71.98%
C =      32.000000; acc = 71.98%
C =      64.000000; acc = 71.98%
C =     128.000000; acc = 71.98%
C =     256.000000; acc = 71.98%
C =     512.000000; acc = 71.98%
C =    1024.000000; acc = 71.98%
C =    2048.000000; acc = 71.98%
C =    4096.000000; acc = 71.98%
C =    8192.000000; acc = 71.98%
C =   16384.000000; acc = 71.98%
2017-10-25 00:00:36.102815 Finish.
Total elapsed time: 06:04:32.10.
