2017-10-24 17:56:04.528183 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit05.
Trial ID: 6.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 84.13%
C =       0.062500; acc = 86.07%
C =       0.125000; acc = 87.61%
C =       0.250000; acc = 88.93%
C =       0.500000; acc = 89.69%
C =       1.000000; acc = 90.30%
C =       2.000000; acc = 90.90%
C =       4.000000; acc = 90.94%
C =       8.000000; acc = 90.85%
C =      16.000000; acc = 90.86%
C =      32.000000; acc = 90.86%
C =      64.000000; acc = 90.86%
C =     128.000000; acc = 90.86%
C =     256.000000; acc = 90.86%
C =     512.000000; acc = 90.86%
C =    1024.000000; acc = 90.86%
C =    2048.000000; acc = 90.86%
C =    4096.000000; acc = 90.86%
C =    8192.000000; acc = 90.86%
C =   16384.000000; acc = 90.86%
2017-10-24 22:45:08.136696 Finish.
Total elapsed time: 04:49:04.14.
