2017-10-24 17:56:03.958776 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit07.
Trial ID: 9.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 86.23%
C =       0.062500; acc = 87.97%
C =       0.125000; acc = 89.78%
C =       0.250000; acc = 91.18%
C =       0.500000; acc = 92.34%
C =       1.000000; acc = 92.97%
C =       2.000000; acc = 92.97%
C =       4.000000; acc = 92.91%
C =       8.000000; acc = 92.93%
C =      16.000000; acc = 92.92%
C =      32.000000; acc = 92.92%
C =      64.000000; acc = 92.92%
C =     128.000000; acc = 92.92%
C =     256.000000; acc = 92.92%
C =     512.000000; acc = 92.92%
C =    1024.000000; acc = 92.92%
C =    2048.000000; acc = 92.92%
C =    4096.000000; acc = 92.92%
C =    8192.000000; acc = 92.92%
C =   16384.000000; acc = 92.92%
2017-10-24 21:32:43.784330 Finish.
Total elapsed time: 03:36:40.78.
