2017-10-24 17:56:05.764004 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit02.
Trial ID: 8.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 74.85%
C =       0.062500; acc = 74.89%
C =       0.125000; acc = 74.69%
C =       0.250000; acc = 74.50%
C =       0.500000; acc = 73.49%
C =       1.000000; acc = 72.71%
C =       2.000000; acc = 72.38%
C =       4.000000; acc = 71.80%
C =       8.000000; acc = 71.94%
C =      16.000000; acc = 71.96%
C =      32.000000; acc = 71.96%
C =      64.000000; acc = 71.96%
C =     128.000000; acc = 71.96%
C =     256.000000; acc = 71.96%
C =     512.000000; acc = 71.96%
C =    1024.000000; acc = 71.96%
C =    2048.000000; acc = 71.96%
C =    4096.000000; acc = 71.96%
C =    8192.000000; acc = 71.96%
C =   16384.000000; acc = 71.96%
2017-10-25 00:36:25.871950 Finish.
Total elapsed time: 06:40:20.87.
