2017-10-24 16:48:26.131602 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit07.
Trial ID: 0.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 87.29%
C =       0.062500; acc = 89.00%
C =       0.125000; acc = 90.39%
C =       0.250000; acc = 91.77%
C =       0.500000; acc = 92.77%
C =       1.000000; acc = 93.25%
C =       2.000000; acc = 93.38%
C =       4.000000; acc = 93.13%
C =       8.000000; acc = 93.02%
C =      16.000000; acc = 92.98%
C =      32.000000; acc = 92.98%
C =      64.000000; acc = 92.98%
C =     128.000000; acc = 92.98%
C =     256.000000; acc = 92.98%
C =     512.000000; acc = 92.98%
C =    1024.000000; acc = 92.98%
C =    2048.000000; acc = 92.98%
C =    4096.000000; acc = 92.98%
C =    8192.000000; acc = 92.98%
C =   16384.000000; acc = 92.98%
2017-10-25 06:07:28.265219 Finish.
Total elapsed time: 13:19:02.27.
