2017-10-23 19:48:41.689728 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit01.
Trial ID: 1.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 78.35%
C =       0.062500; acc = 76.90%
C =       0.125000; acc = 75.07%
C =       0.250000; acc = 74.43%
C =       0.500000; acc = 73.67%
C =       1.000000; acc = 73.33%
C =       2.000000; acc = 73.53%
C =       4.000000; acc = 74.03%
C =       8.000000; acc = 74.06%
C =      16.000000; acc = 74.06%
C =      32.000000; acc = 74.06%
C =      64.000000; acc = 74.06%
C =     128.000000; acc = 74.06%
C =     256.000000; acc = 74.06%
C =     512.000000; acc = 74.06%
C =    1024.000000; acc = 74.06%
C =    2048.000000; acc = 74.06%
C =    4096.000000; acc = 74.06%
C =    8192.000000; acc = 74.06%
C =   16384.000000; acc = 74.06%
2017-10-24 16:48:28.579711 Finish.
Total elapsed time: 20:59:47.58.
