2017-10-24 15:46:55.053480 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit07.
Trial ID: 3.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 86.61%
C =       0.062500; acc = 88.12%
C =       0.125000; acc = 89.76%
C =       0.250000; acc = 91.13%
C =       0.500000; acc = 92.20%
C =       1.000000; acc = 92.79%
C =       2.000000; acc = 93.03%
C =       4.000000; acc = 92.92%
C =       8.000000; acc = 92.87%
C =      16.000000; acc = 92.85%
C =      32.000000; acc = 92.85%
C =      64.000000; acc = 92.85%
C =     128.000000; acc = 92.85%
C =     256.000000; acc = 92.85%
C =     512.000000; acc = 92.85%
C =    1024.000000; acc = 92.85%
C =    2048.000000; acc = 92.85%
C =    4096.000000; acc = 92.85%
C =    8192.000000; acc = 92.85%
C =   16384.000000; acc = 92.85%
2017-10-25 08:34:34.387268 Finish.
Total elapsed time: 16:47:39.39.
