2017-10-24 17:55:17.321449 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit05.
Trial ID: 5.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 83.80%
C =       0.062500; acc = 86.11%
C =       0.125000; acc = 87.81%
C =       0.250000; acc = 89.08%
C =       0.500000; acc = 90.09%
C =       1.000000; acc = 90.80%
C =       2.000000; acc = 91.29%
C =       4.000000; acc = 91.41%
C =       8.000000; acc = 91.31%
C =      16.000000; acc = 91.32%
C =      32.000000; acc = 91.32%
C =      64.000000; acc = 91.32%
C =     128.000000; acc = 91.32%
C =     256.000000; acc = 91.32%
C =     512.000000; acc = 91.32%
C =    1024.000000; acc = 91.32%
C =    2048.000000; acc = 91.32%
C =    4096.000000; acc = 91.32%
C =    8192.000000; acc = 91.32%
C =   16384.000000; acc = 91.32%
2017-10-24 22:21:28.129304 Finish.
Total elapsed time: 04:26:11.13.
