2017-10-24 17:56:05.039281 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit02.
Trial ID: 7.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 74.37%
C =       0.062500; acc = 74.16%
C =       0.125000; acc = 74.28%
C =       0.250000; acc = 73.85%
C =       0.500000; acc = 72.76%
C =       1.000000; acc = 72.57%
C =       2.000000; acc = 72.51%
C =       4.000000; acc = 72.29%
C =       8.000000; acc = 72.42%
C =      16.000000; acc = 72.43%
C =      32.000000; acc = 72.43%
C =      64.000000; acc = 72.43%
C =     128.000000; acc = 72.43%
C =     256.000000; acc = 72.43%
C =     512.000000; acc = 72.43%
C =    1024.000000; acc = 72.43%
C =    2048.000000; acc = 72.43%
C =    4096.000000; acc = 72.43%
C =    8192.000000; acc = 72.43%
C =   16384.000000; acc = 72.43%
2017-10-25 00:45:05.531285 Finish.
Total elapsed time: 06:49:00.53.
