2017-10-24 17:56:05.663114 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit05.
Trial ID: 7.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 84.56%
C =       0.062500; acc = 86.34%
C =       0.125000; acc = 87.81%
C =       0.250000; acc = 88.98%
C =       0.500000; acc = 89.90%
C =       1.000000; acc = 90.76%
C =       2.000000; acc = 91.55%
C =       4.000000; acc = 91.66%
C =       8.000000; acc = 91.60%
C =      16.000000; acc = 91.60%
C =      32.000000; acc = 91.60%
C =      64.000000; acc = 91.60%
C =     128.000000; acc = 91.60%
C =     256.000000; acc = 91.60%
C =     512.000000; acc = 91.60%
C =    1024.000000; acc = 91.60%
C =    2048.000000; acc = 91.60%
C =    4096.000000; acc = 91.60%
C =    8192.000000; acc = 91.60%
C =   16384.000000; acc = 91.60%
2017-10-24 22:39:41.832356 Finish.
Total elapsed time: 04:43:36.83.
