2017-10-24 17:56:05.056699 Start.
Training SVM for BirdVox-70k clips.
Test unit: unit07.
Trial ID: 6.

h5py version: 2.6.0
numpy version: 1.13.1
scikit-learn version: 0.18.2
skm version: 0.0.1

C =       0.031250; acc = 86.81%
C =       0.062500; acc = 88.35%
C =       0.125000; acc = 89.94%
C =       0.250000; acc = 91.34%
C =       0.500000; acc = 92.44%
C =       1.000000; acc = 93.03%
C =       2.000000; acc = 93.12%
C =       4.000000; acc = 92.72%
C =       8.000000; acc = 92.69%
C =      16.000000; acc = 92.67%
C =      32.000000; acc = 92.67%
C =      64.000000; acc = 92.67%
C =     128.000000; acc = 92.67%
C =     256.000000; acc = 92.67%
C =     512.000000; acc = 92.67%
C =    1024.000000; acc = 92.67%
C =    2048.000000; acc = 92.67%
C =    4096.000000; acc = 92.67%
C =    8192.000000; acc = 92.67%
C =   16384.000000; acc = 92.67%
2017-10-24 21:47:59.049829 Finish.
Total elapsed time: 03:51:54.05.
